ModId	AVG(TIMESTAMPDIFF(HOUR, InstallTime, DeleteTime))
80	128.0000
23	50.5000
84	45.1667
72	41.5000
56	41.2500
74	38.7143
32	38.3333
8	36.0909
85	35.5833
53	33.3333
76	32.3333
10	31.7500
69	31.3333
29	29.5833
36	29.5000
77	29.0000
42	27.4286
78	26.7692
57	26.0000
58	26.0000
12	25.1667
35	25.0714
73	24.7500
9	24.6471
11	24.1818
18	23.5556
2	23.4286
66	23.1667
25	22.8333
70	21.3333
28	21.2500
62	21.1429
39	21.0000
5	20.9000
34	20.7273
3	20.0588
7	19.2143
24	18.8333
48	18.7500
55	18.6667
17	18.1429
40	18.0000
15	17.9333
4	17.7778
50	17.5000
27	17.2857
6	16.1333
14	16.0000
75	15.2105
26	15.1667
49	13.8000
1	12.0000
20	11.7143
51	10.6667
13	10.4000
38	10.1667
22	9.7500
21	9.1818
19	8.8571
65	8.6000
60	7.5333
68	7.2500
67	6.5000
71	6.0000
88	6.0000
46	5.3333
47	5.2000
33	4.6667
61	4.5000
41	4.3333
64	4.0000
31	3.7500
59	2.6250
30	2.0000
54	0.0000
89	0.0000
16	0.0000
63	0.0000
81	0.0000
37	0.0000
45	0.0000
44	0.0000
