+-------------------------------------------------------------------------------------+----------+----------+--------------+--------------+
| Title                                                                               | All inst | Now inst | AVG lifetime | MAX lifetime |
+-------------------------------------------------------------------------------------+----------+----------+--------------+--------------+
| Утро с Ульянкой (для детей от 18 лет)                                               |      586 |      374 |     313.4863 |          949 |
| Мизулин мод (X-Art, 18+)                                                            |      553 |      374 |     343.0072 |          955 |
| 7 Дней Лета (0.25c)                                                                 |      528 |      350 |     304.6174 |          943 |
| Восьмой день недели                                                                 |      466 |      263 |     298.5258 |          955 |
| Возвращение в Совёнок (Back to Sovenok)                                             |      460 |      270 |     306.0891 |          956 |
| Алиса-Мод. Допил                                                                    |      449 |      274 |     313.3808 |          956 |
| Все хотят в Совёнок                                                                 |      418 |      240 |     281.3923 |          950 |
| Perfect girl                                                                        |      389 |      217 |     281.1234 |          942 |
| Переход на конкретный рут                                                           |      365 |      274 |     367.9096 |          947 |
| Мику-рут (для оригинального сценария)                                               |      353 |      208 |     297.8952 |          950 |
| День с Алисой                                                                       |      350 |      208 |     293.1714 |          948 |
| Прогулка с Виолой (Точная дата событий в лагере Совёнок)                            |      335 |      188 |     283.6716 |          951 |
| Бесконечная резня                                                                   |      314 |      176 |     282.1210 |          950 |
| История Алены                                                                       |      300 |      187 |     331.2533 |          955 |
| Восемь минут осталось (Eight minutes left)                                          |      290 |      146 |     266.0034 |          949 |
| С того света                                                                        |      276 |      143 |     276.9638 |          945 |
| Юля-рут (Альтернативная концовка Юли)                                               |      274 |      178 |     335.1241 |          948 |
| Выбор                                                                               |      268 |      153 |     290.1828 |          852 |
| Пацанское лето                                                                      |      265 |      174 |     296.6453 |          935 |
| Жертва                                                                              |      256 |      141 |     280.7891 |          948 |
| Двое в автобусе                                                                     |      252 |      127 |     279.3929 |          953 |
| Ольга-рут (из Заветов пионера + Семён мотает срок и Рандеу с жизнью)                |      239 |      137 |     294.5732 |          949 |
| Саманта мод                                                                         |      233 |      108 |     270.5064 |          946 |
| Забытый пионер                                                                      |      232 |      125 |     304.1034 |          952 |
| Назад в детство (Юльяна-мод)                                                        |      230 |      122 |     258.6565 |          923 |
| Булки, кефир и рок-н-ролл (+Кошкорут)                                               |      228 |      147 |     324.5132 |          956 |
| Пионерские игры                                                                     |      227 |      108 |     232.7930 |          940 |
| Одинокий Совёнок                                                                    |      221 |      118 |     268.0498 |          956 |
| Зимняя Сказка с озвучкой                                                            |      213 |      123 |     279.8169 |          946 |
| Быстрое меню выбора модов (Smalser)                                                 |      211 |      144 |     374.1848 |          944 |
| Не Такая любовь                                                                     |      211 |      114 |     281.3128 |          943 |
| Грибная поляна                                                                      |      210 |      104 |     255.7190 |          956 |
| Другая история                                                                      |      197 |      103 |     284.8782 |          950 |
| Иванов день                                                                         |      194 |       99 |     254.5722 |          943 |
